id,user_id,subscription_product_id,attempted_date,attempt_count,status,response,next_attempt_date,payment_method_id,is_reactivate,remarks
715396,57837,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,127021,NULL,NULL
715358,57867,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,127110,NULL,NULL
715369,57856,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,127082,NULL,NULL
715402,55089,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,117524,NULL,NULL
715490,54573,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116167,NULL,NULL
715492,54572,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116166,NULL,NULL
715500,54561,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116137,NULL,NULL
715453,54601,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116234,NULL,NULL
715570,49736,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,105031,NULL,NULL
715582,49729,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,105021,NULL,NULL
715586,49727,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,105016,NULL,NULL
715592,49724,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,105011,NULL,NULL
715410,54641,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116323,NULL,NULL
715613,49710,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,128844,NULL,NULL
715415,54638,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116318,NULL,NULL
715658,49673,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,104917,NULL,NULL
715423,54631,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116303,NULL,NULL
715425,54628,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116300,NULL,NULL
715674,49655,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,110002,NULL,NULL
715427,54627,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116299,NULL,NULL
715800,49042,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,103282,NULL,NULL
715703,49630,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,104836,NULL,NULL
715910,45369,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,93066,NULL,NULL
715764,49584,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,104731,NULL,NULL
715769,49578,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,104715,NULL,NULL
715796,49185,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,116108,NULL,NULL
715869,45404,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,93158,NULL,NULL
715879,45394,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,93131,NULL,NULL
715957,45327,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,92982,NULL,NULL
715959,45322,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,92970,NULL,NULL
715891,45386,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,93110,NULL,NULL
715968,45318,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,122076,NULL,NULL
715972,45316,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,124030,NULL,NULL
716060,41016,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81913,NULL,NULL
715988,45303,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,92926,NULL,NULL
716000,45293,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,92866,NULL,NULL
716111,40973,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81819,NULL,NULL
716062,41012,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81903,NULL,NULL
716090,40987,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,96471,NULL,NULL
716103,40978,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81828,NULL,NULL
716217,37547,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,73085,NULL,NULL
716156,40049,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,79340,NULL,NULL
716185,37575,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,73140,NULL,NULL
716193,37568,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,73126,NULL,NULL
716270,37485,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72966,NULL,NULL
716235,37528,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,73050,NULL,NULL
716291,37465,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72926,NULL,NULL
716320,37434,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72867,NULL,NULL
716340,37416,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72844,NULL,NULL
716345,37413,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72837,NULL,NULL
716360,37405,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72808,NULL,NULL
716366,37399,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72796,NULL,NULL
716428,36086,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,69647,NULL,NULL
716438,35778,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,69064,NULL,NULL
716536,33229,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,119364,NULL,NULL
716542,33035,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,62948,NULL,NULL
716549,32854,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,62628,NULL,NULL
716553,32425,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-01-27,128820,NULL,NULL
716570,31118,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,67516,NULL,NULL
716305,37453,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72906,NULL,NULL
716310,37444,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72885,NULL,NULL
716375,37391,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72782,NULL,NULL
716384,37380,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72715,NULL,NULL
716394,37297,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81606,NULL,NULL
716498,33306,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,63438,NULL,NULL
716515,33267,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,80821,NULL,NULL
716524,33247,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,63327,NULL,NULL
716585,31080,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,54531,NULL,NULL
716645,29564,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,67173,NULL,NULL
716655,29300,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,43543,NULL,NULL
716661,29287,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,43517,NULL,NULL
716695,29217,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,43379,NULL,NULL
716242,37523,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,73036,NULL,NULL
716263,37491,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,72983,NULL,NULL
716701,29057,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,81180,NULL,NULL
716750,27275,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32454,NULL,NULL
716790,27220,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32324,NULL,NULL
716765,27246,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32404,NULL,NULL
716775,27233,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32381,NULL,NULL
716777,27231,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32376,NULL,NULL
716787,27222,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32330,NULL,NULL
716844,23925,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,26483,NULL,NULL
716792,27218,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,32315,NULL,NULL
716813,24804,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,28856,NULL,NULL
716866,23878,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,26272,NULL,NULL
716868,23876,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,26270,NULL,NULL
716910,23811,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,26133,NULL,NULL
716912,23808,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,26125,NULL,NULL
716817,24550,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,28179,NULL,NULL
717060,22159,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,16029,NULL,NULL
717063,22155,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,16015,NULL,NULL
716957,23731,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,25959,NULL,NULL
716965,23715,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,25921,NULL,NULL
717023,22244,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,16297,NULL,NULL
717027,22236,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,16275,NULL,NULL
716978,23675,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,102614,NULL,NULL
717070,22028,26,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,15514,NULL,NULL
717080,20770,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10944,NULL,NULL
717091,20746,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10921,NULL,NULL
717173,18589,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,8557,NULL,NULL
717265,16656,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,6317,NULL,NULL
717271,16642,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,6301,NULL,NULL
717104,20718,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10889,NULL,NULL
717109,20713,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10883,NULL,NULL
717120,20670,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10835,NULL,NULL
717122,20669,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10834,NULL,NULL
717129,20651,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10816,NULL,NULL
717141,20203,11,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,10312,NULL,NULL
717208,17162,33,2020-02-01,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-03,6949,NULL,NULL
